Name:  socialnetwork-media-service-1 | Utilisation:  5.86 | shares  11.72
Name:  socialnetwork-post-storage-mongodb-1 | Utilisation:  14.7 | shares  29.4
Name:  socialnetwork-social-graph-service-1 | Utilisation:  20.31 | shares  40.62
Name:  socialnetwork-user-timeline-service-1 | Utilisation:  17.4 | shares  34.8
Name:  socialnetwork-text-service-1 | Utilisation:  40.53 | shares  81.06
Name:  socialnetwork-social-graph-redis-1 | Utilisation:  3.12 | shares  6.24
Name:  socialnetwork-post-storage-service-1 | Utilisation:  13.76 | shares  27.52
Name:  socialnetwork-social-graph-mongodb-1 | Utilisation:  14.07 | shares  28.14
Name:  socialnetwork-user-timeline-redis-1 | Utilisation:  3.59 | shares  7.18
Name:  socialnetwork-home-timeline-redis-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-url-shorten-mongodb-1 | Utilisation:  17.11 | shares  34.22
Name:  socialnetwork-url-shorten-service-1 | Utilisation:  19.95 | shares  39.9
Name:  socialnetwork-media-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-mention-service-1 | Utilisation:  26.33 | shares  52.66
Name:  socialnetwork-media-frontend-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-compose-post-service-1 | Utilisation:  77.09 | shares  154.18
Name:  socialnetwork-user-service-1 | Utilisation:  6.06 | shares  12.12
Name:  socialnetwork-home-timeline-service-1 | Utilisation:  11.65 | shares  23.3
Name:  socialnetwork-post-storage-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-user-mongodb-1 | Utilisation:  12.63 | shares  25.26
Name:  socialnetwork-unique-id-service-1 | Utilisation:  6.09 | shares  12.18
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  19.07 | shares  38.14
Name:  socialnetwork-nginx-thrift-1 | Utilisation:  26.11 | shares  52.22
Name:  socialnetwork-url-shorten-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-media-mongodb-1 | Utilisation:  1 | shares  2.0
*****
Name:  socialnetwork-user-service-1 | Utilisation:  7.29 | shares  14.58
Name:  socialnetwork-user-timeline-redis-1 | Utilisation:  4.68 | shares  9.36
Name:  socialnetwork-social-graph-redis-1 | Utilisation:  3.68 | shares  7.36
Name:  socialnetwork-user-timeline-service-1 | Utilisation:  22.24 | shares  44.48
Name:  socialnetwork-social-graph-service-1 | Utilisation:  26.18 | shares  52.36
Name:  socialnetwork-user-timeline-mongodb-1 | Utilisation:  26.46 | shares  52.92
Name:  socialnetwork-unique-id-service-1 | Utilisation:  7.58 | shares  15.16
Name:  socialnetwork-user-memcached-1 | Utilisation:  11.06 | shares  22.12
Name:  socialnetwork-home-timeline-service-1 | Utilisation:  14.64 | shares  29.28
Name:  socialnetwork-url-shorten-memcached-1 | Utilisation:  1 | shares  2.0
Name:  socialnetwork-media-service-1 | Utilisation:  8.4 | shares  16.8
Name:  socialnetwork-post-storage-mongodb-1 | Utilisation:  19.27 | shares  38.54
Name:  socialnetwork-nginx-thrift-1 | Utilisation:  33.36 | shares  66.72
