Name:  socialnetwork_media-service_1 | Utilisation:  5.78 | shares  430.8018252568517
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  16.67 | shares  1242.4682399708854
Name:  socialnetwork_post-storage-service_1 | Utilisation:  13.44 | shares  1001.7260435038212
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.86 | shares  436.7644802777078
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_text-service_1 | Utilisation:  38.06 | shares  2836.7331261722798
Name:  socialnetwork_user-mention-service_1 | Utilisation:  24.51 | shares  1826.8084320147811
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  19.32 | shares  1439.981187536743
Name:  socialnetwork_user-service_1 | Utilisation:  5.71 | shares  425.5845021136026
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  27.67 | shares  2062.3333053385963
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  13.97 | shares  1041.2286330169927
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.7453318776070098
Name:  socialnetwork_user-mongodb_1 | Utilisation:  12.38 | shares  922.7208644774782
Name:  socialnetwork_social-graph-service_1 | Utilisation:  19.69 | shares  1467.5584670082023
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  10.79 | shares  804.2130959379635
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  13.06 | shares  973.4034321547549
*****
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  8.554020504132957
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.7776382276484506
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  2.84 | shares  220.84925665215997
Name:  socialnetwork_post-storage-service_1 | Utilisation:  12.19 | shares  947.9409995034613
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  3.48 | shares  270.6181032216608
Name:  socialnetwork_media-service_1 | Utilisation:  5.63 | shares  437.8103221660777
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  16.4 | shares  1275.3266933434588
Name:  socialnetwork_user-mention-service_1 | Utilisation:  23.41 | shares  1820.4510909250228
Name:  socialnetwork_user-mongodb_1 | Utilisation:  11.82 | shares  919.1683850804686
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  12.68 | shares  986.0452726582354
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  26.57 | shares  2066.1847708619334
Name:  socialnetwork_user-service_1 | Utilisation:  5.56 | shares  432.3668545725385
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.7776382276484506
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  16.84 | shares  1309.5427753599909
Name:  socialnetwork_user-memcached_1 | Utilisation:  8.23 | shares  639.9962613546749
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.3 | shares  23.329146829453517
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.7776382276484506
Name:  socialnetwork_unique-id-service_1 | Utilisation:  5.73 | shares  445.5867044425622
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  23.9 | shares  1858.5553640797968
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  18.3 | shares  1423.0779565966645
Name:  socialnetwork_compose-post-service_1 | Utilisation:  69.15 | shares  5377.368344189036
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  10.35 | shares  804.8555656161464
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  13.46 | shares  1046.7010544148145
Name:  socialnetwork_social-graph-service_1 | Utilisation:  18.79 | shares  1461.1822297514386
Name:  socialnetwork_text-service_1 | Utilisation:  36.6 | shares  2846.155913193329
*****
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_home-timeline-redis_1 | Utilisation:  0.11 | shares  5.491749174917492
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.21 | shares  210.1842184218422
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.49924992499249926
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.07 | shares  602.5946594659466
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.27 | shares  13.47974797479748
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  26.0 | shares  1298.049804980498
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.66 | shares  781.8253825382538
Name:  socialnetwork_text-service_1 | Utilisation:  58.22 | shares  2906.6330633063308
Name:  socialnetwork_user-mongodb_1 | Utilisation:  18.63 | shares  930.102610261026
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  20.84 | shares  1040.4368436843683
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.53 | shares  425.86018601860184
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  37.71 | shares  1882.6714671467148
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.17 | shares  1356.4620462046205
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  43.84 | shares  2188.711671167117
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.49924992499249926
Name:  socialnetwork_post-storage-service_1 | Utilisation:  19.25 | shares  961.0561056105611
Name:  socialnetwork_compose-post-service_1 | Utilisation:  108.37 | shares  5410.3714371437145
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  25.48 | shares  1272.088808880888
Name:  socialnetwork_social-graph-service_1 | Utilisation:  28.63 | shares  1429.3525352535253
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.49924992499249926
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  4.99 | shares  249.12571257125714
Name:  socialnetwork_media-service_1 | Utilisation:  8.09 | shares  403.8931893189319
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  20.14 | shares  1005.4893489348935
Name:  socialnetwork_user-service_1 | Utilisation:  7.96 | shares  397.4029402940294
Name:  socialnetwork_user-mention-service_1 | Utilisation:  37.08 | shares  1851.2187218721872
*****
Name:  socialnetwork_user-timeline-mongodb_1 | Utilisation:  43.43 | shares  2171.989480802464
Name:  socialnetwork_media-service_1 | Utilisation:  7.77 | shares  388.587572319483
Name:  socialnetwork_social-graph-mongodb_1 | Utilisation:  20.04 | shares  1002.2258621985122
Name:  socialnetwork_nginx-thrift_1 | Utilisation:  38.08 | shares  1904.4291832594483
Name:  socialnetwork_user-timeline-service_1 | Utilisation:  25.41 | shares  1270.786385152904
Name:  socialnetwork_home-timeline-service_1 | Utilisation:  15.48 | shares  774.1744684048388
Name:  socialnetwork_media-frontend_1 | Utilisation:  0.0 | shares  0.0
Name:  socialnetwork_url-shorten-memcached_1 | Utilisation:  0.01 | shares  0.5001127056878804
Name:  socialnetwork_media-memcached_1 | Utilisation:  0.01 | shares  0.5001127056878804
Name:  socialnetwork_user-service_1 | Utilisation:  8.03 | shares  401.5905026673679
Name:  socialnetwork_social-graph-redis_1 | Utilisation:  4.08 | shares  204.04598392065517
Name:  socialnetwork_url-shorten-service_1 | Utilisation:  27.93 | shares  1396.8147869862498
Name:  socialnetwork_user-mention-service_1 | Utilisation:  37.83 | shares  1891.9263656172513
Name:  socialnetwork_text-service_1 | Utilisation:  57.48 | shares  2874.647832293936
Name:  socialnetwork_social-graph-service_1 | Utilisation:  28.34 | shares  1417.319407919453
Name:  socialnetwork_user-mongodb_1 | Utilisation:  18.84 | shares  942.2123375159666
Name:  socialnetwork_user-memcached_1 | Utilisation:  12.01 | shares  600.6353595311443
Name:  socialnetwork_unique-id-service_1 | Utilisation:  8.48 | shares  424.09557442332255
Name:  socialnetwork_url-shorten-mongodb_1 | Utilisation:  25.81 | shares  1290.7908933804192
Name:  socialnetwork_post-storage-mongodb_1 | Utilisation:  21.63 | shares  1081.7437824028852
Name:  socialnetwork_user-timeline-redis_1 | Utilisation:  5.0 | shares  250.05635284394018
Name:  socialnetwork_post-storage-memcached_1 | Utilisation:  0.01 | shares  0.5001127056878804
Name:  socialnetwork_compose-post-service_1 | Utilisation:  106.14 | shares  5308.196258171162
Name:  socialnetwork_media-mongodb_1 | Utilisation:  0.26 | shares  13.00293034788489
Name:  socialnetwork_post-storage-service_1 | Utilisation:  20.13 | shares  1006.7268765497031
